year,state,division,total_population,fss,homicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,firearm_suicides,total_suicides,firearm_homicides,nonfirearm_homicides,total_homicides,white_fss,nonwhite_fss,nextyearfss,nextyearnonwhitefss,nextyearwhitefss
1950,Texas,West South Central,7711194,0.611271676,9.53159783,5.705990538,3.825607292,423,692,440,295,735,0.607575774,0.6875,0.645161271,0.545454562,0.650485456
1950,Utah,Mountain,688862,0.492063492,1.451669565,0.871001739,0.580667826,31,63,6,4,10,0.5,0,0.400000006,NA,0.400000006
1950,Vermont,New England,377747,0.634615385,0.5294549,0.26472745,0.26472745,33,52,1,1,2,0.634615362,NA,0.636363626,NA,0.636363626
1950,Virginia,South Atlantic,3318680,0.534246575,9.069871154,5.273180903,3.79669025,195,365,175,126,301,0.532934129,0.54838711,0.608024716,0.75,0.596666694
1950,Washington,Pacific,2378963,0.425233645,2.69024781,1.261053661,1.429194149,182,428,30,34,64,0.427207649,0.333333343,0.442577034,0.545454562,0.439306349
1950,West Virginia,South Atlantic,2005552,0.606796117,6.033251693,3.739618818,2.293632875,125,206,75,46,121,0.54954952,0.75,0.599009871,0.333333343,0.603015065
1950,Wisconsin,East North Central,3434575,0.373239437,1.135511672,0.494966626,0.640545046,159,426,17,22,39,0.374407589,0.25,0.372222215,0.600000024,0.369014084
1950,Wyoming,Mountain,290529,0.62,1.376798874,0.688399437,0.688399437,31,50,2,2,4,0.612244904,1,0.782608688,1,0.777777791
1951,Alabama,East South Central,3082242.7,0.710382514,11.48514359,6.359006058,5.126137536,130,183,196,158,354,0.73780489,0.473684222,0.728643239,0.703703701,0.732558131
1951,Arizona,Mountain,804844.4,0.52293578,5.715390453,2.981942845,2.733447608,57,109,24,22,46,0.515151501,0.600000024,0.573770463,0.25,0.596491218
1951,Arkansas,West South Central,1897187.1,0.654867257,7.642894051,4.32218836,3.320705691,74,113,82,63,145,0.673076928,0.444444448,0.676190495,0.600000024,0.680000007
1951,California,Pacific,11099321.1,0.379233759,3.720948302,1.576673009,2.144275293,683,1801,175,238,413,0.382504284,0.269230783,0.386819482,0.296875,0.390708745
1951,Colorado,Mountain,1367974.8,0.479166667,2.485425901,1.242712951,1.242712951,92,192,17,17,34,0.481283426,0.400000006,0.430051804,0.5,0.429319382
1951,Connecticut,New England,2060075.4,0.231060606,1.990218416,0.679586776,1.31063164,61,264,14,27,41,0.23828125,0,0.210045666,0.333333343,0.208333328
1951,Delaware,South Atlantic,330905.7,0.466666667,5.439616181,2.417607191,3.022008989,14,30,8,10,18,0.466666669,NA,0.538461566,1,0.513513505
